dataset,delayed,depth,impurtiy,rel error,accuracy,,,dataset,delayed,depth,impurtiy,rel error,accuracy
connect-4,0,6,15099,1.37081,0.717193,,,connect-4,0,6,15250.8,1.380386,0.713404
connect-4,0,6,15200,1.37362,0.713049,,,connect-4,0,8,14201,1.348618,0.7286212
connect-4,0,6,15305,1.38857,0.7092,,,connect-4,0,10,12995.2,1.314604,0.7448152
connect-4,0,6,15381,1.39087,0.708904,,,connect-4,0,12,11909.2,1.289998,0.755725
connect-4,0,6,15269,1.37806,0.718674,,,connect-4,0,14,10983,1.27354,0.7630822
connect-4,0,8,14122,1.34061,0.731404,,,connect-4,0,16,10279,1.261684,0.766916
connect-4,0,8,14180,1.34046,0.728592,,,connect-4,0,18,9810,1.257584,0.7684256
connect-4,0,8,14227,1.36037,0.72304,,,connect-4,1,6,15638.4,1.393398,0.7066686
connect-4,0,8,14160,1.34809,0.729924,,,connect-4,1,8,14291.6,1.348042,0.7290356
connect-4,0,8,14316,1.35356,0.730146,,,connect-4,1,10,12515,1.298824,0.752128
connect-4,0,10,13072,1.31759,0.741988,,,connect-4,1,12,10954.2,1.260632,0.7702908
connect-4,0,10,12930,1.30257,0.747539,,,connect-4,1,14,9753.8,1.23794,0.7796608
connect-4,0,10,12946,1.31856,0.742506,,,connect-4,1,16,8946,1.225224,0.7850196
connect-4,0,10,13034,1.31922,0.743394,,,connect-4,1,18,8656.6,1.222722,0.78573
connect-4,0,10,12994,1.31508,0.748649,,,,,,,,
connect-4,0,12,11886,1.28843,0.756125,,,,,,,,
connect-4,0,12,11892,1.28066,0.756939,,,,,,,,
connect-4,0,12,11732,1.29309,0.754496,,,,,,,,
connect-4,0,12,12144,1.30412,0.749315,,,,,,,,
connect-4,0,12,11892,1.28369,0.76175,,,,,,,,
connect-4,0,14,10987,1.27311,0.763378,,,,,,,,
connect-4,0,14,11116,1.26926,0.760788,,,,,,,,
connect-4,0,14,10755,1.27355,0.764044,,,,,,,,
connect-4,0,14,11175,1.28888,0.755607,,,,,,,,
connect-4,0,14,10882,1.2629,0.771594,,,,,,,,
connect-4,0,16,10287,1.26423,0.766487,,,,,,,,
connect-4,0,16,10462,1.2643,0.76212,,,,,,,,
connect-4,0,16,10098,1.2555,0.770779,,,,,,,,
connect-4,0,16,10433,1.27148,0.760862,,,,,,,,
connect-4,0,16,10115,1.25291,0.774332,,,,,,,,
connect-4,0,18,9751,1.25624,0.769521,,,,,,,,
connect-4,0,18,9903,1.26164,0.762934,,,,,,,,
connect-4,0,18,9748,1.25461,0.770705,,,,,,,,
connect-4,0,18,9882,1.26423,0.76508,,,,,,,,
connect-4,0,18,9766,1.2512,0.773888,,,,,,,,
connect-4,1,6,15490,1.38332,0.71105,,,,,,,,
connect-4,1,6,15636,1.37902,0.70994,,,,,,,,
connect-4,1,6,15546,1.39501,0.705795,,,,,,,,
connect-4,1,6,15765,1.40974,0.69943,,,,,,,,
connect-4,1,6,15755,1.3999,0.707128,,,,,,,,
connect-4,1,8,14021,1.34113,0.731922,,,,,,,,
connect-4,1,8,14326,1.33832,0.729998,,,,,,,,
connect-4,1,8,14564,1.35608,0.724595,,,,,,,,
connect-4,1,8,14304,1.34653,0.730738,,,,,,,,
connect-4,1,8,14243,1.35815,0.727925,,,,,,,,
connect-4,1,10,12470,1.29694,0.75198,,,,,,,,
connect-4,1,10,12503,1.29865,0.748797,,,,,,,,
connect-4,1,10,12745,1.30257,0.750574,,,,,,,,
connect-4,1,10,12437,1.30124,0.75235,,,,,,,,
connect-4,1,10,12420,1.29472,0.756939,,,,,,,,
connect-4,1,12,11010,1.26334,0.767671,,,,,,,,
connect-4,1,12,10864,1.25535,0.769151,,,,,,,,
connect-4,1,12,10985,1.26119,0.769891,,,,,,,,
connect-4,1,12,10897,1.26497,0.769817,,,,,,,,
connect-4,1,12,11015,1.25831,0.774924,,,,,,,,
connect-4,1,14,9809,1.24232,0.775516,,,,,,,,
connect-4,1,14,9626,1.22974,0.781511,,,,,,,,
connect-4,1,14,9731,1.23403,0.781067,,,,,,,,
connect-4,1,14,9807,1.24684,0.776552,,,,,,,,
connect-4,1,14,9796,1.23677,0.783658,,,,,,,,
connect-4,1,16,8826,1.22026,0.785804,,,,,,,,
connect-4,1,16,8882,1.22093,0.784768,,,,,,,,
connect-4,1,16,8953,1.22271,0.785508,,,,,,,,
connect-4,1,16,8989,1.23559,0.780845,,,,,,,,
connect-4,1,16,9080,1.22663,0.788173,,,,,,,,
connect-4,1,18,8461,1.21508,0.787803,,,,,,,,
connect-4,1,18,8497,1.21827,0.786174,,,,,,,,
connect-4,1,18,8732,1.22197,0.785212,,,,,,,,
connect-4,1,18,8748,1.23166,0.782103,,,,,,,,
connect-4,1,18,8845,1.22663,0.787358,,,,,,,,
