dataset,depth,delayed,imp,rel,acc
appt_noshows_procd,6,0,26660.18,0.403221,0.7983262
appt_noshows_procd,6,1,26675.659999999996,0.403203,0.7983443999999998
appt_noshows_procd,8,0,26407.619999999995,0.4039448,0.7976024
appt_noshows_procd,8,1,26402.0,0.40437019999999996,0.7971769999999999
appt_noshows_procd,10,0,25981.960000000003,0.406125,0.7954216
appt_noshows_procd,10,1,25876.98,0.4063694,0.7951773999999999
appt_noshows_procd,12,0,25358.2,0.40874000000000005,0.7928067999999999
appt_noshows_procd,12,1,25158.18,0.4101516,0.7913956000000001
appt_noshows_procd,14,0,24627.18,0.4131464,0.7884008
appt_noshows_procd,14,1,24338.359999999997,0.4149378,0.7866094
appt_noshows_procd,16,0,23928.940000000002,0.4161504,0.7853972
appt_noshows_procd,16,1,23630.2,0.4196426,0.7819046000000001
appt_noshows_procd,18,0,23402.859999999997,0.4184754,0.7830717999999999
appt_noshows_procd,18,1,23107.22,0.42193139999999996,0.7796154
