dataset,delayed,depth,impurtiy,relerror,accuracy
hmnist,0,6,2461,4.28208,0.635047
hmnist,0,6,2411,4.50874,0.660509
hmnist,0,6,2445,4.46231,0.679481
hmnist,0,6,2404,4.48677,0.662007
hmnist,0,6,2415,4.44983,0.676985
hmnist,0,8,2152,4.39391,0.584124
hmnist,0,8,2191,4.53969,0.651023
hmnist,0,8,2204,4.49925,0.669496
hmnist,0,8,2170,4.50674,0.654518
hmnist,0,8,2176,4.46680,0.667000
hmnist,0,10,1916,4.53969,0.507738
hmnist,0,10,1961,4.56865,0.639041
hmnist,0,10,2013,4.55567,0.649026
hmnist,0,10,1948,4.56715,0.636046
hmnist,0,10,1967,4.47678,0.663505
hmnist,0,12,1790,4.58562,0.491263
hmnist,0,12,1821,4.59910,0.628058
hmnist,0,12,1866,4.56665,0.640040
hmnist,0,12,1816,4.58612,0.633050
hmnist,0,12,1826,4.51023,0.658013
hmnist,0,14,1725,4.62806,0.472292
hmnist,0,14,1773,4.60359,0.624064
hmnist,0,14,1800,4.58313,0.632551
hmnist,0,14,1762,4.58762,0.631053
hmnist,0,14,1776,4.52322,0.652022
hmnist,0,16,1703,4.64304,0.464304
hmnist,0,16,1728,4.61258,0.620569
hmnist,0,16,1782,4.59860,0.625562
hmnist,0,16,1747,4.59261,0.628557
hmnist,0,16,1770,4.51922,0.653020
hmnist,0,18,1698,4.65102,0.460310
hmnist,0,18,1723,4.61358,0.620569
hmnist,0,18,1772,4.60160,0.624563
hmnist,0,18,1739,4.59760,0.627059
hmnist,0,18,1761,4.52521,0.650025
dataset,delayed,depth,impurtiy,relerror,accuracy
hmnist,1,6,2572,4.28357,0.648527
hmnist,1,6,2471,4.49026,0.666500
hmnist,1,6,2443,4.46231,0.671992
hmnist,1,6,2466,4.40175,0.658512
hmnist,1,6,2455,4.48827,0.663005
hmnist,1,8,2251,4.44833,0.581128 
hmnist,1,8,2277,4.51922,0.655017
hmnist,1,8,2189,4.47778,0.668997
hmnist,1,8,2210,4.54568,0.645532
hmnist,1,8,2191,4.52971,0.659011
hmnist,1,10,1988,4.54210,0.532701
hmnist,1,10,1993,4.54868,0.646031
hmnist,1,10,2028,4.50674,0.655017
hmnist,1,10,1973,4.57214,0.639041
hmnist,1,10,1958,4.56465,0.648028
hmnist,1,12,1856,4.57614,0.499251
hmnist,1,12,1879,4.56815,0.636046
hmnist,1,12,1946,4.51872,0.646530
hmnist,1,12,1852,4.57614,0.633050
hmnist,1,12,1868,4.58812,0.637544
hmnist,1,14,1833,4.58213,0.495756
hmnist,1,14,1849,4.56615,0.637544
hmnist,1,14,1914,4.53220,0.641538
hmnist,1,14,1823,4.59860,0.627059
hmnist,1,14,1845,4.59611,0.634548
hmnist,1,16,1828,4.58412,0.494758
hmnist,1,16,1834,4.57414,0.634548
hmnist,1,16,1903,4.52971,0.642536
hmnist,1,16,1819,4.60060,0.626061
hmnist,1,16,1839,4.59611,0.634548
hmnist,1,18,1827,4.58612,0.493759
hmnist,1,18,1831,4.57414,0.634548
hmnist,1,18,1903,4.52971,0.642536
hmnist,1,18,1818,4.60260,0.625062
hmnist,1,18,1839,4.59611,0.634548
